trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
4177,False,"{'a': 0.002, 'e': 0.0002359241978697823}",25,9,32.13394765705356,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
4178,False,"{'a': 0.002, 'e': 0.00023545282100802996}",30,0,35.61644082950736,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
4179,False,"{'a': 0.002, 'e': 0.000234982385957876}",20,15,10.466273996306223,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
4180,False,"{'a': 0.002, 'e': 0.00023451289083757873}",25,11,21.774953146734518,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4181,False,"{'a': 0.002, 'e': 0.00023404433376915794}",25,15,21.512206930360577,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4182,False,"{'a': 0.002, 'e': 0.00023357671287838386}",30,3,46.12227722974444,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
4183,False,"{'a': 0.002, 'e': 0.00023311002629477272}",20,15,9.910752230354838,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
4184,False,"{'a': 0.002, 'e': 0.00023264427215157802}",20,12,13.460896493329574,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4185,False,"{'a': 0.002, 'e': 0.00023217944858578167}",30,24,8.132573608547943,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4186,False,"{'a': 0.002, 'e': 0.00023171555373808925}",25,0,43.88843611067346,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
4187,False,"{'a': 0.002, 'e': 0.00023125258575292114}",25,16,16.48083514937988,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4188,False,"{'a': 0.002, 'e': 0.000230790542778404}",20,10,18.85174363545705,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4189,False,"{'a': 0.002, 'e': 0.00023032942296636607}",25,10,23.938298793719667,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
4190,False,"{'a': 0.002, 'e': 0.00022986922447232672}",30,21,17.00696434228814,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4191,False,"{'a': 0.002, 'e': 0.00022940994545549173}",25,11,27.16512117433231,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4192,False,"{'a': 0.002, 'e': 0.00022895158407874487}",20,9,17.781543822111754,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4193,False,"{'a': 0.002, 'e': 0.00022849413850863917}",25,19,8.994883058049039,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4194,False,"{'a': 0.002, 'e': 0.00022803760691539218}",25,13,21.637346235389114,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4195,False,"{'a': 0.002, 'e': 0.00022758198747287731}",25,9,29.154760057146753,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
4196,False,"{'a': 0.002, 'e': 0.00022712727835861536}",20,2,24.31555918583577,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
4197,False,"{'a': 0.002, 'e': 0.00022667347775377007}",30,19,15.641475421858079,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4198,False,"{'a': 0.002, 'e': 0.00022622058384313764}",20,3,28.24434180163442,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
4199,False,"{'a': 0.002, 'e': 0.0002257685948151422}",20,6,23.05046394277753,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4200,False,"{'a': 0.002, 'e': 0.00022531750886182746}",25,17,15.611874549493027,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4201,False,"{'a': 0.002, 'e': 0.0002248673241788482}",20,7,26.850972322378837,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
4202,False,"{'a': 0.002, 'e': 0.00022441803896546545}",30,19,23.564232649171824,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4203,False,"{'a': 0.002, 'e': 0.0002239696514245382}",20,6,22.31009825650728,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4204,False,"{'a': 0.002, 'e': 0.00022352215976251488}",20,0,29.382184999831594,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4205,False,"{'a': 0.002, 'e': 0.00022307556218942903}",30,21,16.535776564800518,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4206,False,"{'a': 0.002, 'e': 0.00022262985691888897}",25,17,14.477683175551544,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4207,False,"{'a': 0.002, 'e': 0.00022218504216807344}",30,11,31.51267141505447,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
